# Assembly name:  ASM299302v1
# Organism name:  Arcobacter cryaerophilus (e-proteobacteria)
# Infraspecific name:  strain=LMG 9065
# Taxid:          28198
# BioSample:      SAMN07515814
# BioProject:     PRJNA369468
# Submitter:      Universitat Rovira i Virgili
# Date:           2018-03-09
# Assembly type:  n/a
# Release type:   major
# Assembly level: Scaffold
# Genome representation: full
# WGS project:    NXGI01
# Assembly method: SPAdes v. 3.9
# Expected final version: yes
# Genome coverage: 75x
# Sequencing technology: Illumina MiSeq
# GenBank assembly accession: GCA_002993025.1
# RefSeq assembly accession: GCF_002993025.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_002993035.1	GCF_002993035.1	Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
NODE_10_length_138871_cov_21.171490	unplaced-scaffold	na	na	NXGI01000010.1	=	NZ_NXGI01000010.1	Primary Assembly	139017	na
NODE_11_length_613_cov_241.753677	unplaced-scaffold	na	na	NXGI01000011.1	=	NZ_NXGI01000011.1	Primary Assembly	759	na
NODE_12_length_222263_cov_21.371019	unplaced-scaffold	na	na	NXGI01000012.1	=	NZ_NXGI01000012.1	Primary Assembly	222409	na
NODE_13_length_1143_cov_124.415573	unplaced-scaffold	na	na	NXGI01000013.1	=	NZ_NXGI01000013.1	Primary Assembly	1289	na
NODE_15_length_29391_cov_26.974855	unplaced-scaffold	na	na	NXGI01000014.1	=	NZ_NXGI01000014.1	Primary Assembly	29537	na
NODE_16_length_790_cov_93.093674	unplaced-scaffold	na	na	NXGI01000015.1	=	NZ_NXGI01000015.1	Primary Assembly	936	na
NODE_17_length_43448_cov_22.912632	unplaced-scaffold	na	na	NXGI01000016.1	=	NZ_NXGI01000016.1	Primary Assembly	43594	na
NODE_18_length_159217_cov_19.750103	unplaced-scaffold	na	na	NXGI01000017.1	=	NZ_NXGI01000017.1	Primary Assembly	159363	na
NODE_19_length_4926_cov_26.505888	unplaced-scaffold	na	na	NXGI01000018.1	=	NZ_NXGI01000018.1	Primary Assembly	5072	na
NODE_1_length_63252_cov_23.492474	unplaced-scaffold	na	na	NXGI01000001.1	=	NZ_NXGI01000001.1	Primary Assembly	63398	na
